2023-04-20 20:41:10,091 INFO    StreamThr :66821 [internal.py:wandb_internal():87] W&B internal server running at pid: 66821, started at: 2023-04-20 20:41:10.091607
2023-04-20 20:41:10,092 DEBUG   HandlerThread:66821 [handler.py:handle_request():144] handle_request: status
2023-04-20 20:41:10,095 INFO    WriterThread:66821 [datastore.py:open_for_write():85] open: /home/qcqced/바탕화면/ML_Test/UPPPM/wandb/run-20230420_204110-hts6ofiq/run-hts6ofiq.wandb
2023-04-20 20:41:10,095 DEBUG   SenderThread:66821 [sender.py:send():336] send: header
2023-04-20 20:41:10,110 DEBUG   SenderThread:66821 [sender.py:send():336] send: run
2023-04-20 20:41:10,738 INFO    SenderThread:66821 [dir_watcher.py:__init__():219] watching files in: /home/qcqced/바탕화면/ML_Test/UPPPM/wandb/run-20230420_204110-hts6ofiq/files
2023-04-20 20:41:10,738 INFO    SenderThread:66821 [sender.py:_start_run_threads():1078] run started: hts6ofiq with start time 1681990870.092082
2023-04-20 20:41:10,738 DEBUG   SenderThread:66821 [sender.py:send_request():363] send_request: summary_record
2023-04-20 20:41:10,738 INFO    SenderThread:66821 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-04-20 20:41:10,741 DEBUG   HandlerThread:66821 [handler.py:handle_request():144] handle_request: check_version
2023-04-20 20:41:10,741 DEBUG   SenderThread:66821 [sender.py:send_request():363] send_request: check_version
2023-04-20 20:41:10,818 DEBUG   HandlerThread:66821 [handler.py:handle_request():144] handle_request: run_start
2023-04-20 20:41:10,823 DEBUG   HandlerThread:66821 [system_info.py:__init__():31] System info init
2023-04-20 20:41:10,823 DEBUG   HandlerThread:66821 [system_info.py:__init__():46] System info init done
2023-04-20 20:41:10,823 INFO    HandlerThread:66821 [system_monitor.py:start():183] Starting system monitor
2023-04-20 20:41:10,823 INFO    SystemMonitor:66821 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-04-20 20:41:10,823 INFO    HandlerThread:66821 [system_monitor.py:probe():204] Collecting system info
2023-04-20 20:41:10,823 INFO    SystemMonitor:66821 [interfaces.py:start():187] Started cpu monitoring
2023-04-20 20:41:10,823 INFO    SystemMonitor:66821 [interfaces.py:start():187] Started disk monitoring
2023-04-20 20:41:10,824 INFO    SystemMonitor:66821 [interfaces.py:start():187] Started gpu monitoring
2023-04-20 20:41:10,824 INFO    SystemMonitor:66821 [interfaces.py:start():187] Started memory monitoring
2023-04-20 20:41:10,824 INFO    SystemMonitor:66821 [interfaces.py:start():187] Started network monitoring
2023-04-20 20:41:10,836 DEBUG   HandlerThread:66821 [system_info.py:probe():195] Probing system
2023-04-20 20:41:10,840 DEBUG   HandlerThread:66821 [system_info.py:_probe_git():180] Probing git
2023-04-20 20:41:10,846 DEBUG   HandlerThread:66821 [system_info.py:_probe_git():188] Probing git done
2023-04-20 20:41:10,846 DEBUG   HandlerThread:66821 [system_info.py:probe():240] Probing system done
